system:index,e_salud,isInside_10km,key,name,.geo
00000000000000000001,170101A201,true,1,C.S. JORGE CHAVEZ,"{""type"":""Point"",""coordinates"":[-69.19734682241332,-12.585197367405618]}"
00000000000000000067,170101A318,true,105,P.S. PAST PUERTO1,"{""type"":""Point"",""coordinates"":[-69.19734682241332,-12.585197367405618]}"
00000000000000000068,170101A204,true,106,P.S. PAST PUERTO2,"{""type"":""Point"",""coordinates"":[-69.19734682241332,-12.585197367405618]}"
0000000000000000005a,170302A303,true,81,P.S. ABEJA,"{""type"":""Point"",""coordinates"":[-69.39382819213131,-11.414687799977127]}"
0000000000000000000d,170101A312,false,8,P.S. SONENE,"{""type"":""Point"",""coordinates"":[-68.70153937628068,-12.57079893010404]}"
0000000000000000002d,170103A307,true,41,P.S. SUDADERO,"{""type"":""Point"",""coordinates"":[-69.14791768723587,-12.379258244353272]}"
0000000000000000000f,170101A314,false,44,P.S. PARIAMARCA,"{""type"":""Point"",""coordinates"":[-69.26805032871677,-12.426511338216637]}"
00000000000000000035,170104A304,true,25,P.S. FORTUNA,"{""type"":""Point"",""coordinates"":[-69.63664408089565,-12.69966249144757]}"
00000000000000000024,170102A313,true,50,P.S. PRIMAVERA BAJA,"{""type"":""Point"",""coordinates"":[-70.11083380512119,-12.90957913263959]}"
00000000000000000019,170102A201,true,45,C.S. MAZUKO,"{""type"":""Point"",""coordinates"":[-70.3671875246838,-13.10092807704506]}"
00000000000000000009,170101A307,true,15,P.S. BAJO TAMBOPATA,"{""type"":""Point"",""coordinates"":[-69.18550790911642,-12.629748246030594]}"
00000000000000000062,170303A303,true,72,P.S. VILLA ROCIO,"{""type"":""Point"",""coordinates"":[-69.18578437338175,-11.785091947183716]}"
00000000000000000044,170202A303,false,95,P.S. BOCA MANU,"{""type"":""Point"",""coordinates"":[-70.90773759078672,-12.26317000752786]}"
0000000000000000003c,170201A302,false,91,P.S. ITAHUANIA,"{""type"":""Point"",""coordinates"":[-71.22429809277295,-12.637600722985711]}"
