"year","key","yearly_cases_C","yearly_cases_CP","onekm","twokm","threekm","fourkm","fivekm","tenkm","fifteenkm","twentykm","thirtykm","fortykm","population","urban","ag","all_cutoffs","clust","mean_temp","sum_precip","mean_temp_centered","mean_temp_centered_sq","sum_precip_centered","sum_precip_centered_sq"
2000-01-01,1,0,0,"1","1","1","1","1","1","1","1","1","1",7650.39399592626,11.6972112734097,34.4906162010372,1,1,297.503224038362,0.658330117272832,0.00533628187997692,2.847590430257e-05,-0.0604794480563631,0.00365776363720232
2000-01-01,2,0,0,"1","1","1","1","1","1","1","1","1","1",230.039709929516,11.5356278834072,33.130235519894,1,1,297.503219376534,0.658916629314858,0.00533162005183385,2.84261723771168e-05,-0.0598929360143362,0.00358716378441737
2000-01-01,3,0,0,"0","0","0","0","0","0","1","1","1","1",1550.00980045725,0,12.0602567380831,4,4,297.398024660846,0.681693826792998,-0.0998630956354987,0.00997263786990475,-0.0371157385361963,0.00137757804708729
2000-01-01,4,1,1,"1","1","1","1","1","1","1","1","1","1",696.427828726336,9.98633628954918,31.02076471047,1,1,297.492459285663,0.648019851424658,-0.00542847081914033,2.94682954342581e-05,-0.070789713904537,0.0050111835946862
2000-01-01,5,0,0,"0","0","0","0","0","0","0","0","0","1",134.667873648265,0,0.744340563232424,7,27,297.608608806517,0.46468246119324,0.110721050035124,0.0122591509208805,-0.254127104135954,0.0645805850565261
2000-01-01,6,0,0,"0","0","0","0","0","0","0","0","0","1",413.249498542177,0,1.18429323528741,7,6,297.645053769418,0.595657825659121,0.147166012936623,0.0216578353636622,-0.123151739670073,0.0151663509837655
2000-01-01,7,0,0,"0","0","0","0","0","0","0","0","0","0",53.8015942617346,0,0.850594734130861,0,2,297.664891238154,0.376755654938878,0.167003481672566,0.0278901628907591,-0.342053910390317,0.117000877613307
2000-01-01,8,0,0,"0","0","0","0","0","0","0","0","0","0",287.362294171913,0,0.312565111022949,0,7,297.583907263096,0.456922691980208,0.0860195066140363,0.00739935551812224,-0.261886873348986,0.068584734432508
2000-01-01,9,0,0,"1","1","1","1","1","1","1","1","1","1",675.851138737113,10.9601870383503,32.5330677924934,1,1,297.50012306395,0.59986355709448,0.00223530746842471,4.99659947839528e-06,-0.118946008234715,0.0141481528749729
2000-01-01,10,2,2,"0","0","1","1","1","1","1","1","1","1",940.384811610942,1.00661883448151,38.9989464651195,2,3,297.493484561841,0.585155172181816,-0.00440319464064487,1.93881230434037e-05,-0.133654393147378,0.017863496807594
2000-01-01,11,0,0,"0","0","0","0","0","1","1","1","1","1",895.925547991486,0.57169633598154,27.7229226019997,3,3,297.497044829533,0.505310916135019,-0.000842926948791956,7.10525840999716e-07,-0.213498649194176,0.0455816732077379
2000-01-01,12,2,2,"0","0","0","1","1","1","1","1","1","1",458.959679148798,3.03760083907014,32.107171936489,2,3,297.499196164658,0.515066211182591,0.00130840817632816,1.71193195588237e-06,-0.203743354146603,0.0415113543589082
2000-01-01,13,0,0,"1","1","1","1","1","1","1","1","1","1",567.930784120986,10.5253758317706,30.6703979630888,1,1,297.499286170519,0.474779973592899,0.00139841403756691,1.95556182046418e-06,-0.244029591736296,0.0595504416429833
2000-01-01,14,0,0,"0","1","1","1","1","1","1","1","1","1",4872.58527077772,12.0172089280856,35.7930203836333,2,1,297.503303258988,0.508673239573097,0.00541550250596856,2.93276673921518e-05,-0.210136325756098,0.044157275402273
2000-01-01,15,0,0,"0","0","0","0","1","1","1","1","1","1",209.290422191824,7.39312618627621,34.3252222702702,2,1,297.503303258988,0.542028861840185,0.00541550250596856,2.93276673921518e-05,-0.17678070348901,0.0312514171260692
2000-01-01,16,0,0,"0","0","0","0","1","1","1","1","1","1",154.716703606305,0.332233889011757,36.1788707743675,2,11,297.452527874027,0.533573322641636,-0.0453598824546475,0.00205751893629944,-0.185236242687559,0.0343124656050042
2000-01-01,17,0,0,"1","1","1","1","1","1","1","1","1","1",770.489137902753,0,50.0517002241557,1,10,297.403482928101,0.688606284929902,-0.0944048283802772,0.00891227162150959,-0.0302032803992929,0.000912238146878309
2000-01-01,18,0,0,"1","1","1","1","1","1","1","1","1","1",384.229054727153,0,46.653898077095,1,8,297.440053466048,0.545333774137559,-0.0578342904335045,0.00334480514994695,-0.173475791191636,0.030093850129564
2000-01-01,19,0,0,"0","1","1","1","1","1","1","1","1","1",1637.0112775899,11.8339769736566,36.2454654314812,2,1,297.503303258988,0.567045578540501,0.00541550250596856,2.93276673921518e-05,-0.151763986788694,0.0230323076859988
2000-01-01,20,0,0,"0","0","0","0","0","0","1","1","1","1",1003.88693069647,0,13.8628119810421,4,11,297.442288859109,0.573352962246916,-0.055598897373045,0.00309123738909839,-0.145456603082279,0.0211576233802356
2000-01-01,21,0,0,"0","0","0","0","0","0","1","1","1","1",240.568922173166,0,15.0620190318251,4,5,297.374369541558,0.520430632579113,-0.123518214924047,0.0152567494180231,-0.198378932750082,0.0393542009590615
2000-01-01,22,0,0,"0","0","0","0","0","1","1","1","1","1",316.581871441953,0,26.7011297283934,3,5,297.430157142954,0.597157488171646,-0.0677306135276581,0.00458743600883298,-0.121652077157548,0.0147992278767461
2000-01-01,23,2,2,"0","0","0","0","0","1","1","1","1","1",1449.18771513557,0.206808261047363,12.5731653522892,3,35,297.319962073033,0.606787837889743,-0.177925683449189,0.031657548830861,-0.112021727439451,0.0125488674185187
2000-01-01,24,0,0,"1","1","1","1","1","1","1","1","1","1",632.943191001931,0,36.4470731411339,1,10,297.378006951734,0.590548048773403,-0.119880804747993,0.0143714073470264,-0.128261516555792,0.0164510166291917
