"year","key","yearly_cases_C","yearly_cases_CP","onekm","twokm","threekm","fourkm","fivekm","tenkm","fifteenkm","twentykm","thirtykm","fortykm","population","urban","ag","all_cutoffs","clust","mean_temp","sum_precip"
2000-01-01,44,0,0,"0","0","0","0","0","0","1","1","1","1",605.164062930543,0,10.0257240198312,4,9,297.328117881175,0.542949354863044
2000-01-01,45,2,2,"1","1","1","1","1","1","1","1","1","1",1346.74243988063,0.46179546850586,9.24053094694331,1,13,295.130468673161,1.02387265511941
2000-01-01,46,0,0,"0","0","0","0","0","0","1","1","1","1",214.61555833506,0.0243959680786133,1.07981128738966,4,16,295.620511342393,0.85694021672055
2000-01-01,47,0,0,"1","1","1","1","1","1","1","1","1","1",135.466394308984,0,0.643989135714661,1,17,294.181554371954,0.792061943341266
2000-01-01,48,0,0,"1","1","1","1","1","1","1","1","1","1",214.121009877929,0.0775996237792968,6.6108695032798,1,19,296.708673081643,0.826230412724892
2000-01-01,49,0,0,"1","1","1","1","1","1","1","1","1","1",213.759028878696,0,8.27926187876975,1,14,296.904327315655,0.747948432416887
2000-01-01,50,0,0,"1","1","1","1","1","1","1","1","1","1",130.164914980271,0,6.95980854519325,1,23,296.94801027153,0.814014550249835
2000-01-01,51,0,0,"0","0","0","0","0","1","1","1","1","1",197.953247496099,0,0.871557314537857,3,18,297.174591951026,0.479520704613943
2000-01-01,52,0,0,"1","1","1","1","1","1","1","1","1","1",80.5446349032845,0,4.48194839496033,1,20,296.89156311934,0.603794352219555
2000-01-01,53,0,0,"1","1","1","1","1","1","1","1","1","1",22.6989374517913,0.095048608215332,3.74483583036802,1,21,296.878002284997,0.75134170505534
2000-01-01,54,1,1,"0","0","0","0","0","0","1","1","1","1",41.204540809532,0.00785184924316406,0.744487483901801,4,15,297.186034858126,0.699879268069947
2000-01-01,55,0,0,"1","1","1","1","1","1","1","1","1","1",464.185140348527,0.46179546850586,8.88825808154884,1,13,295.121870102044,0.981399814163623
2000-01-01,56,4,4,"0","0","0","0","0","0","0","0","1","1",1792.88321958025,0.246680087890625,3.57623979167121,6,55,295.977639934392,0.926341945770176
2000-01-01,57,0,0,"0","0","0","0","0","0","0","0","1","1",593.167384697844,0,5.13891273300254,6,54,296.744097917555,0.767092063372896
2000-01-01,58,0,0,"0","0","0","0","0","0","0","0","1","1",322.007101877397,0,2.84355195561092,6,57,295.914443715646,0.670055190320487
2000-01-01,59,0,0,"0","0","0","0","0","0","0","1","1","1",372.114790709497,0.246680087890625,5.94204078486065,5,55,296.001042223656,0.882681447334519
2000-01-01,60,0,0,"0","0","0","0","1","1","1","1","1","1",128.617810940358,0.332663218397671,10.9839548479539,2,56,295.247166456054,0.915128553526586
2000-01-01,61,3,3,"0","0","0","0","0","1","1","1","1","1",178.273366491682,0,8.34686710172401,3,56,295.731334320965,0.985150325750421
2000-01-01,62,0,0,"0","0","0","0","0","0","0","0","0","1",1255.45629933748,0.133560248657227,4.83882504026001,7,49,296.983480523307,0.52106816907239
2000-01-01,63,1,1,"0","0","0","0","0","1","1","1","1","1",530.608431912444,0.0235429218139648,2.33451436646944,3,19,296.618878220505,0.895060884299667
2000-01-01,64,1,1,"0","0","0","0","0","0","0","0","1","1",1416.37179601834,0,2.51410236622434,6,54,296.844779285225,0.736890788339786
2000-01-01,65,2,2,"0","0","0","0","0","0","0","0","0","1",164.052885179325,0.0287993586425781,1.21282355982259,7,50,296.924885283951,0.719308462554978
2000-01-01,66,0,0,"0","0","0","0","0","0","0","0","0","1",364.2033813239,0.0340280093994141,1.38953627294036,7,52,296.81182079377,0.601309025166185
2000-01-01,67,0,0,"0","0","0","0","0","0","0","0","0","1",1448.0177274255,0,2.68641359793055,7,32,297.077384416875,0.544711706785423
2000-01-01,68,0,0,"0","0","0","0","0","0","0","0","0","1",794.218658529605,0.00611044537353516,2.72006070571576,7,51,297.028030170856,0.661774693145841
2000-01-01,69,2,2,"0","0","0","0","0","0","0","0","0","1",851.469830387188,0,1.56717743062361,7,53,297.132011442827,0.643373618457517
2000-01-01,70,1,1,"1","1","1","1","1","1","1","1","1","1",945.770261125464,1.72374796612549,34.1388262912033,1,61,297.342592590351,0.487478064547043
2000-01-01,71,0,0,"1","1","1","1","1","1","1","1","1","1",349.124601751493,0.346900824035645,12.6166680374265,1,66,297.256921091189,0.404801614022826
2000-01-01,72,1,1,"1","1","1","1","1","1","1","1","1","1",217.954716916553,0.107701077392578,6.67285681547374,1,68,297.246940820886,0.56320127072448
2000-01-01,73,0,0,"1","1","1","1","1","1","1","1","1","1",206.754360707476,0.149904596130371,19.0603072779938,1,69,297.375163090895,0.431799497096148
2000-01-01,74,2,2,"1","1","1","1","1","1","1","1","1","1",304.901151061307,2.1645998744507,26.682328771692,1,58,297.481694500765,0.179939841024588
2000-01-01,75,0,0,"0","0","0","0","0","0","0","1","1","1",74.2982407138266,0,2.38376058927145,5,59,297.421493706057,0.449344518995162
2000-01-01,76,0,0,"1","1","1","1","1","1","1","1","1","1",84.9294597672426,0.0877955924072265,12.2575123537769,1,60,297.437075875444,0.409951055289653
2000-01-01,77,0,0,"0","0","0","0","1","1","1","1","1","1",66.8163764210424,0.642543654359107,21.5621128699045,2,61,297.333338870714,0.387465074858348
2000-01-01,78,1,1,"1","1","1","1","1","1","1","1","1","1",2123.55950630037,1.72374796612549,37.5986103174098,1,61,297.342592590351,0.447952816070256
2000-01-01,79,0,0,"1","1","1","1","1","1","1","1","1","1",234.24550732924,0.221086303405762,11.8120513606567,1,62,297.208297710969,0.408998232343512
2000-01-01,80,0,0,"0","0","0","1","1","1","1","1","1","1",164.878087081994,0.0166607393188477,23.2689815463173,2,63,297.310248839787,0.421732836517528
2000-01-01,81,0,0,"1","1","1","1","1","1","1","1","1","1",191.359488611121,0,19.6428012066516,1,64,297.365461446774,0.465321940935979
2000-01-01,82,0,0,"0","0","0","0","0","0","1","1","1","1",368.916182873605,0.0727908192138672,4.60154889541733,4,65,297.243742799417,0.372930686037125
2000-01-01,83,0,0,"1","1","1","1","1","1","1","1","1","1",125.715458309859,0.100665081359863,12.0236077295032,1,67,297.291193149717,0.455561994869505
2000-01-01,84,1,1,"0","0","0","1","1","1","1","1","1","1",310.274456863298,0.182017010417863,14.271395141335,2,25,297.304686128598,0.483082218923057
2000-01-01,85,1,1,"0","0","0","1","1","1","1","1","1","1",49.526529977288,0.0866606015625,7.59021315450797,2,67,297.295469577521,0.499387473900523
2000-01-01,86,0,0,"0","0","0","0","0","0","1","1","1","1",51.8216359503877,0.0210066762695312,6.72302224740125,4,70,297.344689673631,0.422599371024035
2000-01-01,87,0,0,"0","1","1","1","1","1","1","1","1","1",1327.55451617459,1.72374796612549,33.855508195724,2,61,297.342592590351,0.487478064547043
2000-01-01,88,0,0,"0","0","0","0","0","0","0","0","0","0",312.491954251157,0.320971729736328,3.17826500353789,0,40,293.585064874848,1.39844366101846
2000-01-01,89,0,0,"0","0","0","0","0","0","0","0","0","0",65.3009003279126,0.0192010375366211,1.07221091429874,0,43,295.132573415928,0.830791173028732
2000-01-01,90,0,0,"0","0","0","0","0","0","0","0","0","0",187.407177200783,0.00784828692626953,2.64855536620784,0,40,293.021883298721,1.37425049667618
2000-01-01,91,0,0,"0","0","0","0","0","0","0","0","0","0",58.4168544147734,0,0.870628563224523,0,41,295.943446639847,0.85879366778017
2000-01-01,92,0,0,"0","0","0","0","0","0","0","0","0","0",69.5370055908279,0,2.69990867096689,0,42,294.222892238638,1.20476370609545
2000-01-01,93,0,0,"0","0","0","0","0","0","0","0","0","0",9.33341247372434,0,0.884355844096103,0,45,296.357826099347,0.679156281403979
2000-01-01,94,1,1,"0","0","0","0","0","0","0","0","0","0",96.2345964538762,0,1.0729387120548,0,43,294.784797600558,1.04253225012506
2000-01-01,95,0,0,"0","0","0","0","0","0","0","0","0","0",304.55482440444,0,1.00349886114286,0,48,297.010829265621,0.501809832468948
2000-01-01,96,0,0,"0","0","0","0","0","0","0","0","0","0",186.86940400184,0,1.30080369037583,0,44,296.906106225866,0.57565684478233
2000-01-01,97,0,0,"0","0","0","0","0","0","0","0","0","0",143.864831281414,0,1.22957163287066,0,46,296.925833844035,0.484657170480818
2000-01-01,98,0,0,"0","0","0","0","0","0","0","0","0","0",197.317982842012,0,0.783614677673341,0,47,296.481918289344,0.430704674614096
2000-01-01,99,1,1,"1","1","1","1","1","1","1","1","1","1",4627.61020403605,11.3464512577572,34.2135253416445,1,1,297.502228263482,0.591883080669781
2000-01-01,100,0,0,"1","1","1","1","1","1","1","1","1","1",8219.90562956273,11.6491854993408,34.5562355729105,1,1,297.503000431756,0.515681877633381
2000-01-01,101,0,0,"0","1","1","1","1","1","1","1","1","1",24523.8825715896,12.1774915344838,36.4758701594252,2,1,297.503303258988,0.64209572864145
2000-01-01,102,0,0,"0","0","0","0","0","1","1","1","1","1",74.5559893389014,0,5.56755296086619,3,56,295.031736630428,1.02444122084569
2000-01-01,103,0,0,"0","0","0","0","0","0","0","0","0","1",144.813765459212,0,1.64880192650482,7,32,297.037111004736,0.620175332303101
2000-01-01,104,0,0,"0","0","0","0","0","1","1","1","1","1",148.238062516465,0,3.32299960924529,3,71,297.270634406622,0.541681973790791
2000-01-01,105,8,8,"1","1","1","1","1","1","1","1","1","1",24683.1227967376,11.6972112734097,34.4906162010372,1,1,297.503224038362,0.658330117272832
2000-01-01,106,0,0,"1","1","1","1","1","1","1","1","1","1",24683.1227967376,11.6972112734097,34.4906162010372,1,1,297.503224038362,0.658330117272832
2001-01-01,1,1,1,"1","1","1","1","1","1","1","1","1","1",7246.24341991987,11.8421407605314,32.7044688766455,1,1,297.756431856996,0.691690713701024
2001-01-01,2,4,4,"1","1","1","1","1","1","1","1","1","1",218.69708889977,11.6742440438772,32.1448430573531,1,1,297.756299865993,0.692357992841646
2001-01-01,3,3,3,"0","0","0","0","0","0","1","1","1","1",1810.44579660337,0,12.0461255704146,4,4,297.63532305983,0.724246021700277
2001-01-01,4,5,5,"1","1","1","1","1","1","1","1","1","1",658.202501071323,10.1225355424178,28.9942036337242,1,1,297.747478354642,0.679979259890105
2001-01-01,5,0,0,"0","0","0","0","0","0","0","0","0","1",170.694382729789,0,0.864898792724611,7,27,297.881176336199,0.512081917713102
2001-01-01,6,1,1,"0","0","0","0","0","0","0","0","0","1",548.035637651091,0,1.54408506945489,7,6,297.923621769671,0.64038402782967
2001-01-01,7,1,1,"0","0","0","0","0","0","0","0","0","0",81.8481078320948,0,0.808676316467287,0,2,297.927250378688,0.408971988635917
2001-01-01,8,0,0,"0","0","0","0","0","0","0","0","0","0",356.207572965734,0,0.37455329498291,0,7,297.865171739087,0.482109834678633
2001-01-01,9,1,1,"1","1","1","1","1","1","1","1","1","1",635.150576498044,11.086780176656,30.4823832594473,1,1,297.753933697228,0.629800955085213
2001-01-01,10,8,8,"0","0","1","1","1","1","1","1","1","1",1069.20599241886,1.05987920453767,37.1236493418477,2,3,297.744750299075,0.626068558689738
2001-01-01,11,0,0,"0","0","0","0","0","1","1","1","1","1",1011.73567952198,0.627569199778597,26.7779259744442,3,3,297.744994112204,0.546166962511416
2001-01-01,12,7,7,"0","0","0","1","1","1","1","1","1","1",482.046712622807,3.12103543787241,30.8551567144542,2,3,297.748976243704,0.551107335918107
2001-01-01,13,1,1,"1","1","1","1","1","1","1","1","1","1",533.674410581567,10.647603709029,28.5158498051047,1,1,297.75323769788,0.498424636832947
2001-01-01,14,0,0,"0","1","1","1","1","1","1","1","1","1",4581.20088736327,12.1612655198215,34.4873077239354,2,1,297.75657849475,0.534263694225882
2001-01-01,15,0,0,"0","0","0","0","1","1","1","1","1","1",189.792525117194,7.43144943438125,32.9240136405298,2,1,297.75657849475,0.569297379093152
2001-01-01,16,1,1,"0","0","0","0","1","1","1","1","1","1",189.24227225843,0.331360993626014,35.2876724989737,2,11,297.710579936114,0.54648610610385
2001-01-01,17,1,1,"1","1","1","1","1","1","1","1","1","1",727.44173139717,0,49.66943726843,1,10,297.656438939985,0.709815278053888
2001-01-01,18,0,0,"1","1","1","1","1","1","1","1","1","1",372.060013246483,0,46.1845589596055,1,8,297.693337677833,0.562727956380346
2001-01-01,19,6,6,"0","1","1","1","1","1","1","1","1","1",1536.25535758063,11.9518394930658,35.0304997786205,2,1,297.75657849475,0.595572642743606
2001-01-01,20,0,0,"0","0","0","0","0","0","1","1","1","1",1320.39288249838,0.000872569580078125,13.7187322624805,4,11,297.701354743803,0.584355930617352
2001-01-01,21,0,0,"0","0","0","0","0","0","1","1","1","1",310.261413952484,0,14.3157208357212,4,5,297.649681638264,0.525225955128978
2001-01-01,22,0,0,"0","0","0","0","0","1","1","1","1","1",367.869343691683,0,25.9354312715411,3,5,297.693536531517,0.60906693511648
2001-01-01,23,6,6,"0","0","0","0","0","1","1","1","1","1",1394.48462862931,0.252183932739258,13.816497972067,3,35,297.543599423985,0.624851242009348
2001-01-01,24,1,1,"1","1","1","1","1","1","1","1","1","1",576.902857041275,0,36.252007876536,1,10,297.627088038313,0.609271458556564
2001-01-01,25,0,0,"0","0","0","0","0","1","1","1","1","1",181.825277806968,0,4.69415264513628,3,37,297.537502886557,0.731638151341522
2001-01-01,26,0,0,"0","0","0","0","0","0","1","1","1","1",66.5688211421467,0,3.31724038532785,4,22,297.514042234903,0.581818986809737
2001-01-01,27,0,0,"1","1","1","1","1","1","1","1","1","1",614.738573516331,0,12.8238017992818,1,38,297.471740188211,0.726847186918665
2001-01-01,28,0,0,"0","0","0","0","0","0","0","0","1","1",200.062784240926,0,1.16724994796789,6,39,297.404515449556,0.785677546036907
2001-01-01,29,0,0,"0","0","0","0","0","0","1","1","1","1",294.122717525923,0,4.43637458754734,4,37,297.523125977397,0.652312950313986
2001-01-01,30,0,0,"0","0","0","0","0","0","0","1","1","1",360.062172591351,0,3.50967454989012,5,22,297.512095510173,0.638997057330977
2001-01-01,31,0,0,"0","0","0","0","0","0","0","0","1","1",508.677331491469,0.102998569091797,2.01038188595187,6,36,297.449789114637,0.659498879626411
2001-01-01,32,0,0,"0","0","0","0","0","0","0","1","1","1",164.766065213559,0,3.30956870494479,5,22,297.49902049333,0.766369609575667
2001-01-01,34,9,9,"1","1","1","1","1","1","1","1","1","1",638.952037876497,0.331264302368164,18.9834201945457,1,24,297.588334533159,0.516860673775877
2001-01-01,35,0,0,"0","0","0","0","0","0","0","0","0","1",175.412052139677,0,0.19693341672076,7,29,297.45800682452,0.599195075510493
2001-01-01,36,0,0,"0","0","0","0","0","0","0","0","0","1",138.264985901997,0,0.0962521604003906,7,34,297.412672972557,0.512643828237775
2001-01-01,37,4,4,"1","1","1","1","1","1","1","1","1","1",905.582409206846,0.348078432373047,19.7658956397292,1,26,297.533676989662,0.451740375845179
2001-01-01,38,13,13,"1","1","1","1","1","1","1","1","1","1",994.690416907031,0.407823782348633,15.7411855550542,1,25,297.527184141904,0.604318065098124
2001-01-01,39,0,0,"0","0","0","0","0","0","0","0","1","1",220.791033300627,0,0.903630457747396,6,31,297.57114398385,0.531465692244343
2001-01-01,40,0,0,"0","0","0","0","0","0","0","1","1","1",72.4050155416229,0,0.357718369457769,5,33,297.670571224454,0.662149533352745
2001-01-01,41,4,4,"1","1","1","1","1","1","1","1","1","1",594.507319964205,0.179986112121582,35.0627777666381,1,30,297.679468845902,0.536969605627323
2001-01-01,42,0,0,"0","0","0","0","0","0","1","1","1","1",321.061504445798,0,5.01510270673919,4,28,297.591766493507,0.466439529600989
2001-01-01,43,0,0,"0","0","0","0","0","0","0","0","0","0",109.069280589605,0,0.0779501917114258,0,12,297.206499675836,0.479861331104665
2001-01-01,44,0,0,"0","0","0","0","0","0","1","1","1","1",672.775375593556,0,9.98884213802781,4,9,297.594471792243,0.586327365481989
2001-01-01,45,15,15,"1","1","1","1","1","1","1","1","1","1",1511.83977027475,0.473122617004395,9.90269785081101,1,13,295.249623615957,0.982758001993703
2001-01-01,46,0,0,"0","0","0","0","0","0","1","1","1","1",216.127390145309,0.0243959680786133,1.07457944223585,4,16,295.755202443494,0.825021551288243
2001-01-01,47,0,0,"1","1","1","1","1","1","1","1","1","1",176.402387048811,0.00958155047607422,0.914348621945848,1,17,294.257085088074,0.688005456846146
2001-01-01,48,2,2,"1","1","1","1","1","1","1","1","1","1",306.642321621314,0.0793434346313476,7.6056869286771,1,19,296.853284177664,0.822672525851477
2001-01-01,49,3,3,"1","1","1","1","1","1","1","1","1","1",219.143115714045,0,9.51166307369706,1,14,297.056789033745,0.741843045608105
2001-01-01,50,0,0,"1","1","1","1","1","1","1","1","1","1",143.768827036509,0,7.9050213924108,1,23,297.106858207964,0.803870590075872
2001-01-01,51,2,2,"0","0","0","0","0","1","1","1","1","1",195.195846935114,0,1.43154728724915,3,18,297.3331412515,0.485829202313064
2001-01-01,52,0,0,"1","1","1","1","1","1","1","1","1","1",67.3196261162422,0,5.12203192883484,1,20,297.093147801431,0.603815832798112
2001-01-01,53,0,0,"1","1","1","1","1","1","1","1","1","1",15.7784886098146,0.10464065826416,4.03510126038414,1,21,297.057647714008,0.744449329205024
2001-01-01,54,2,2,"0","0","0","0","0","0","1","1","1","1",39.462517044709,0.00785184924316406,1.22739029791044,4,15,297.354365877294,0.712403617902443
2001-01-01,55,0,0,"1","1","1","1","1","1","1","1","1","1",522.429049049352,0.473122617004395,9.48064169623466,1,13,295.24075827695,0.941780090185083
2001-01-01,56,9,9,"0","0","0","0","0","0","0","0","1","1",1812.53410521378,0.26585664251709,4.8180911803175,6,55,296.103811578684,0.928316140942443
2001-01-01,57,0,0,"0","0","0","0","0","0","0","0","1","1",650.104794138334,0,10.8224848749427,6,54,296.884087261742,0.783827478306277
2001-01-01,58,0,0,"0","0","0","0","0","0","0","0","1","1",361.650792939188,0,4.27502138858498,6,57,296.034272218082,0.670172268255684
2001-01-01,59,0,0,"0","0","0","0","0","0","0","1","1","1",371.921291092487,0.26585664251709,7.52222655372252,5,55,296.128986191864,0.885154710381367
2001-01-01,60,0,0,"0","0","0","0","1","1","1","1","1","1",123.767677221803,0.340505251112515,12.1847260831811,2,56,295.367676466905,0.883815668511058
2001-01-01,61,3,3,"0","0","0","0","0","1","1","1","1","1",218.870720698767,0,9.43829981832936,3,56,295.860506746145,0.973346369465505
2001-01-01,62,2,2,"0","0","0","0","0","0","0","0","0","1",960.849657882179,0.135306123718262,7.29558728835707,7,49,297.128021882752,0.551064666807668
2001-01-01,63,4,4,"0","0","0","0","0","1","1","1","1","1",549.213574141275,0.0322625169067383,3.40495646974523,3,19,296.759548863203,0.896704980271433
2001-01-01,64,2,2,"0","0","0","0","0","0","0","0","1","1",1385.26443797621,0,4.18250602919516,6,54,296.989840473336,0.755521703028522
2001-01-01,65,3,3,"0","0","0","0","0","0","0","0","0","1",203.192107697111,0.0287993586425781,1.9850692420975,7,50,297.066189023352,0.75105309210632
2001-01-01,66,5,5,"0","0","0","0","0","0","0","0","0","1",427.132881044581,0.0366455518188477,2.44402475970699,7,52,296.952457991313,0.63059405648447
2001-01-01,67,0,0,"0","0","0","0","0","0","0","0","0","1",1356.80362075194,0,4.02407086482917,7,32,297.227029898744,0.577926945446769
2001-01-01,68,0,0,"0","0","0","0","0","0","0","0","0","1",826.146677882614,0.00872920867919922,4.07623798963194,7,51,297.172746801918,0.700013444989063
2001-01-01,69,2,2,"0","0","0","0","0","0","0","0","0","1",631.81052330742,0,1.74819553046396,7,53,297.280941571174,0.68379916206793
2001-01-01,70,10,10,"1","1","1","1","1","1","1","1","1","1",903.519655553006,1.75092797784423,34.058992965568,1,61,297.484269316963,0.547665896065699
2001-01-01,71,8,8,"1","1","1","1","1","1","1","1","1","1",585.331901387391,0.35566092388916,11.3709435461523,1,66,297.461592222682,0.428720287939805
2001-01-01,72,3,3,"1","1","1","1","1","1","1","1","1","1",177.981513951852,0.107701077392578,5.90061133422563,1,68,297.474400189551,0.598417083430253
2001-01-01,73,0,0,"1","1","1","1","1","1","1","1","1","1",172.335027162921,0.155164416809082,16.9177180504418,1,69,297.548789066762,0.452089213804596
2001-01-01,74,1,1,"1","1","1","1","1","1","1","1","1","1",306.74226476953,2.18830919573976,27.0701022651451,1,58,297.586709801491,0.194095431224688
2001-01-01,75,0,0,"0","0","0","0","0","0","0","1","1","1",88.5691277833956,0,2.31212314835923,5,59,297.529884091189,0.495420475014888
2001-01-01,76,0,0,"1","1","1","1","1","1","1","1","1","1",83.2816264422944,0.0877955924072265,12.636097170443,1,60,297.54107258516,0.446962457608668
2001-01-01,77,0,0,"0","0","0","0","1","1","1","1","1","1",63.6333808097155,0.65306491717649,21.8920930718692,2,61,297.481520232185,0.435742967493117
2001-01-01,78,3,3,"1","1","1","1","1","1","1","1","1","1",2000.69021892826,1.75092797784423,37.7548081579074,1,61,297.484269316963,0.503260553141453
2001-01-01,79,0,0,"1","1","1","1","1","1","1","1","1","1",215.280502745069,0.221086303405762,11.8387756170893,1,62,297.323698012282,0.453467558129178
2001-01-01,80,0,0,"0","0","0","1","1","1","1","1","1","1",161.962555369339,0.0166607393188477,24.4803573197934,2,63,297.44215178075,0.468151894513316
2001-01-01,81,0,0,"1","1","1","1","1","1","1","1","1","1",183.702453187601,0,19.0465868205902,1,64,297.511826514998,0.505662657670257
