"month","key","e_salud","clust","cases_C","cases_CP"
2013-08-01,1,"170101A201",1,9,9
2013-09-01,1,"170101A201",1,9,9
2013-10-01,1,"170101A201",1,2,2
2013-11-01,1,"170101A201",1,12,12
2013-12-01,1,"170101A201",1,15,15
2014-01-01,1,"170101A201",1,32,32
2014-02-01,1,"170101A201",1,14,14
2014-03-01,1,"170101A201",1,10,10
2014-04-01,1,"170101A201",1,6,6
2014-05-01,1,"170101A201",1,8,8
2014-06-01,1,"170101A201",1,2,2
2014-07-01,1,"170101A201",1,1,1
2014-08-01,1,"170101A201",1,1,1
2014-09-01,1,"170101A201",1,1,1
2014-10-01,1,"170101A201",1,7,7
2014-11-01,1,"170101A201",1,9,9
2014-12-01,1,"170101A201",1,1,1
2015-01-01,1,"170101A201",1,1,1
2015-02-01,1,"170101A201",1,3,3
2015-03-01,1,"170101A201",1,11,11
2015-04-01,1,"170101A201",1,23,23
2015-05-01,1,"170101A201",1,28,28
2015-06-01,1,"170101A201",1,11,11
2015-07-01,1,"170101A201",1,1,1
2015-08-01,1,"170101A201",1,3,3
2015-09-01,1,"170101A201",1,2,2
2015-10-01,1,"170101A201",1,3,3
2015-11-01,1,"170101A201",1,10,10
2015-12-01,1,"170101A201",1,15,16
2016-01-01,1,"170101A201",1,15,15
2016-02-01,1,"170101A201",1,3,3
2016-03-01,1,"170101A201",1,2,2
2016-04-01,1,"170101A201",1,2,2
2016-05-01,1,"170101A201",1,2,2
2016-06-01,1,"170101A201",1,1,1
2016-07-01,1,"170101A201",1,2,2
2016-08-01,1,"170101A201",1,2,2
2016-09-01,1,"170101A201",1,1,1
2016-10-01,1,"170101A201",1,1,1
2016-11-01,1,"170101A201",1,1,1
2016-12-01,1,"170101A201",1,3,3
2017-01-01,1,"170101A201",1,1,1
2017-02-01,1,"170101A201",1,2,2
2017-03-01,1,"170101A201",1,2,2
2017-04-01,1,"170101A201",1,3,3
2017-05-01,1,"170101A201",1,8,8
2017-06-01,1,"170101A201",1,6,6
2017-07-01,1,"170101A201",1,6,6
2017-08-01,1,"170101A201",1,1,1
2017-09-01,1,"170101A201",1,2,2
2017-10-01,1,"170101A201",1,2,2
2017-11-01,1,"170101A201",1,16,16
2017-12-01,1,"170101A201",1,18,18
2018-01-01,1,"170101A201",1,36,36
2018-02-01,1,"170101A201",1,7,7
2018-03-01,1,"170101A201",1,17,17
2018-04-01,1,"170101A201",1,15,15
2018-05-01,1,"170101A201",1,2,2
2018-06-01,1,"170101A201",1,1,1
2018-07-01,1,"170101A201",1,5,5
2018-08-01,1,"170101A201",1,6,6
2018-09-01,1,"170101A201",1,6,6
2018-10-01,1,"170101A201",1,4,4
2018-11-01,1,"170101A201",1,4,4
2018-12-01,1,"170101A201",1,13,13
2019-01-01,1,"170101A201",1,7,7
2019-02-01,1,"170101A201",1,6,6
2019-03-01,1,"170101A201",1,5,5
2019-04-01,1,"170101A201",1,27,28
2019-05-01,1,"170101A201",1,24,24
2019-06-01,1,"170101A201",1,8,8
2019-07-01,1,"170101A201",1,12,12
2019-08-01,1,"170101A201",1,15,15
2019-09-01,1,"170101A201",1,21,22
2019-10-01,1,"170101A201",1,61,68
2019-11-01,1,"170101A201",1,138,167
2019-12-01,1,"170101A201",1,95,201
2020-01-01,1,"170101A201",1,113,113
2020-02-01,1,"170101A201",1,93,93
2020-03-01,1,"170101A201",1,32,32
2020-04-01,1,"170101A201",1,2,2
2020-05-01,1,"170101A201",1,1,1
2020-06-01,1,"170101A201",1,1,1
2020-07-01,1,"170101A201",1,1,1
2020-08-01,1,"170101A201",1,1,2
2020-09-01,1,"170101A201",1,5,5
2020-10-01,1,"170101A201",1,11,11
2020-11-01,1,"170101A201",1,21,21
2020-12-01,1,"170101A201",1,55,55
2021-01-01,1,"170101A201",1,52,53
2021-02-01,1,"170101A201",1,12,12
2021-03-01,1,"170101A201",1,11,11
2021-04-01,1,"170101A201",1,2,2
2021-05-01,1,"170101A201",1,3,3
2021-06-01,1,"170101A201",1,1,1
2021-07-01,1,"170101A201",1,1,1
2021-08-01,1,"170101A201",1,4,4
2021-09-01,1,"170101A201",1,3,3
2021-10-01,1,"170101A201",1,3,3
2021-11-01,1,"170101A201",1,2,2
2021-12-01,1,"170101A201",1,5,6
2022-01-01,1,"170101A201",1,15,15
2022-02-01,1,"170101A201",1,55,55
2022-03-01,1,"170101A201",1,38,38
2022-04-01,1,"170101A201",1,16,18
2022-05-01,1,"170101A201",1,19,19
2022-06-01,1,"170101A201",1,3,3
2022-07-01,1,"170101A201",1,3,3
2022-08-01,1,"170101A201",1,10,10
2022-09-01,1,"170101A201",1,10,11
2022-10-01,1,"170101A201",1,20,20
2022-11-01,1,"170101A201",1,38,38
2022-12-01,1,"170101A201",1,70,80
2000-01-01,2,"170101A308",1,1,1
2000-02-01,2,"170101A308",1,1,1
2000-03-01,2,"170101A308",1,1,1
2000-04-01,2,"170101A308",1,1,1
2000-05-01,2,"170101A308",1,1,1
2000-06-01,2,"170101A308",1,1,1
2000-07-01,2,"170101A308",1,1,1
2000-08-01,2,"170101A308",1,1,1
2000-09-01,2,"170101A308",1,1,1
2000-10-01,2,"170101A308",1,1,1
2000-11-01,2,"170101A308",1,1,1
2000-12-01,2,"170101A308",1,1,1
2001-01-01,2,"170101A308",1,1,1
2001-02-01,2,"170101A308",1,1,1
2001-03-01,2,"170101A308",1,1,1
2001-04-01,2,"170101A308",1,1,1
2001-05-01,2,"170101A308",1,1,1
2001-06-01,2,"170101A308",1,1,1
2001-07-01,2,"170101A308",1,1,1
2001-08-01,2,"170101A308",1,1,1
2001-09-01,2,"170101A308",1,1,1
2001-10-01,2,"170101A308",1,1,1
2001-11-01,2,"170101A308",1,1,1
2001-12-01,2,"170101A308",1,1,1
2002-01-01,2,"170101A308",1,1,1
2002-02-01,2,"170101A308",1,1,1
2002-03-01,2,"170101A308",1,1,1
2002-04-01,2,"170101A308",1,1,1
2002-05-01,2,"170101A308",1,1,1
2002-06-01,2,"170101A308",1,1,1
2002-07-01,2,"170101A308",1,1,1
2002-08-01,2,"170101A308",1,1,1
2002-09-01,2,"170101A308",1,1,1
2002-10-01,2,"170101A308",1,1,1
2002-11-01,2,"170101A308",1,1,1
2002-12-01,2,"170101A308",1,1,1
2003-01-01,2,"170101A308",1,1,1
2003-02-01,2,"170101A308",1,1,1
2003-03-01,2,"170101A308",1,1,1
2003-04-01,2,"170101A308",1,1,1
2003-05-01,2,"170101A308",1,1,1
2003-06-01,2,"170101A308",1,1,1
2003-07-01,2,"170101A308",1,1,1
2003-08-01,2,"170101A308",1,1,1
2003-09-01,2,"170101A308",1,1,1
2003-10-01,2,"170101A308",1,1,1
2003-11-01,2,"170101A308",1,1,1
2003-12-01,2,"170101A308",1,1,1
2004-01-01,2,"170101A308",1,1,1
2004-02-01,2,"170101A308",1,1,1
2004-03-01,2,"170101A308",1,1,1
2004-04-01,2,"170101A308",1,1,1
2004-05-01,2,"170101A308",1,1,1
2004-06-01,2,"170101A308",1,1,1
2004-07-01,2,"170101A308",1,1,1
2004-08-01,2,"170101A308",1,1,1
2004-09-01,2,"170101A308",1,1,1
2004-10-01,2,"170101A308",1,1,1
2004-11-01,2,"170101A308",1,1,1
2004-12-01,2,"170101A308",1,1,1
2005-01-01,2,"170101A308",1,1,1
2005-02-01,2,"170101A308",1,1,1
2005-03-01,2,"170101A308",1,1,1
2005-04-01,2,"170101A308",1,1,1
2005-05-01,2,"170101A308",1,1,1
2005-06-01,2,"170101A308",1,1,1
2005-07-01,2,"170101A308",1,1,1
2005-08-01,2,"170101A308",1,1,1
2005-09-01,2,"170101A308",1,1,1
2005-10-01,2,"170101A308",1,1,1
2005-11-01,2,"170101A308",1,1,1
2005-12-01,2,"170101A308",1,1,1
2006-01-01,2,"170101A308",1,1,1
2006-02-01,2,"170101A308",1,1,1
2006-03-01,2,"170101A308",1,1,1
2006-04-01,2,"170101A308",1,1,1
2006-05-01,2,"170101A308",1,1,1
2006-06-01,2,"170101A308",1,1,1
2006-07-01,2,"170101A308",1,1,1
2006-08-01,2,"170101A308",1,1,1
2006-09-01,2,"170101A308",1,1,1
2006-10-01,2,"170101A308",1,1,1
2006-11-01,2,"170101A308",1,1,1
2006-12-01,2,"170101A308",1,1,1
2007-01-01,2,"170101A308",1,1,1
2007-02-01,2,"170101A308",1,1,1
2007-03-01,2,"170101A308",1,1,1
2007-04-01,2,"170101A308",1,1,1
2007-05-01,2,"170101A308",1,1,1
2007-06-01,2,"170101A308",1,1,1
2007-07-01,2,"170101A308",1,1,1
2007-08-01,2,"170101A308",1,1,1
2007-09-01,2,"170101A308",1,1,1
2007-10-01,2,"170101A308",1,1,1
2007-11-01,2,"170101A308",1,1,1
2007-12-01,2,"170101A308",1,1,1
2008-01-01,2,"170101A308",1,1,1
2008-02-01,2,"170101A308",1,1,1
2008-03-01,2,"170101A308",1,1,1
2008-04-01,2,"170101A308",1,1,1
2008-05-01,2,"170101A308",1,1,1
2008-06-01,2,"170101A308",1,1,1
2008-07-01,2,"170101A308",1,1,1
2008-08-01,2,"170101A308",1,1,1
2008-09-01,2,"170101A308",1,1,1
2008-10-01,2,"170101A308",1,1,1
2008-11-01,2,"170101A308",1,1,1
2008-12-01,2,"170101A308",1,1,1
2009-01-01,2,"170101A308",1,1,1
2009-02-01,2,"170101A308",1,1,1
2009-03-01,2,"170101A308",1,1,1
2009-04-01,2,"170101A308",1,1,1
2009-05-01,2,"170101A308",1,1,1
2009-06-01,2,"170101A308",1,1,1
2009-07-01,2,"170101A308",1,1,1
2009-08-01,2,"170101A308",1,1,1
2009-09-01,2,"170101A308",1,1,1
2009-10-01,2,"170101A308",1,1,1
2009-11-01,2,"170101A308",1,1,1
2009-12-01,2,"170101A308",1,1,1
2010-01-01,2,"170101A308",1,1,1
2010-02-01,2,"170101A308",1,1,1
2010-03-01,2,"170101A308",1,1,1
2010-04-01,2,"170101A308",1,1,1
2010-05-01,2,"170101A308",1,1,1
2010-06-01,2,"170101A308",1,1,1
2010-07-01,2,"170101A308",1,1,1
2010-08-01,2,"170101A308",1,1,1
2010-09-01,2,"170101A308",1,1,1
2010-10-01,2,"170101A308",1,1,1
2010-11-01,2,"170101A308",1,1,1
2010-12-01,2,"170101A308",1,1,1
2011-01-01,2,"170101A308",1,1,1
2011-02-01,2,"170101A308",1,1,1
2011-03-01,2,"170101A308",1,1,1
2011-04-01,2,"170101A308",1,1,1
2011-05-01,2,"170101A308",1,1,1
2011-06-01,2,"170101A308",1,1,1
2011-07-01,2,"170101A308",1,1,1
2011-08-01,2,"170101A308",1,1,1
2011-09-01,2,"170101A308",1,1,1
2011-10-01,2,"170101A308",1,1,1
2011-11-01,2,"170101A308",1,1,1
2011-12-01,2,"170101A308",1,1,1
2012-01-01,2,"170101A308",1,1,1
2012-02-01,2,"170101A308",1,1,1
2012-03-01,2,"170101A308",1,1,1
2012-04-01,2,"170101A308",1,3,3
2012-05-01,2,"170101A308",1,1,1
2012-06-01,2,"170101A308",1,2,2
2012-07-01,2,"170101A308",1,3,3
2012-08-01,2,"170101A308",1,3,3
2012-09-01,2,"170101A308",1,3,3
2012-10-01,2,"170101A308",1,3,3
2012-11-01,2,"170101A308",1,3,3
2012-12-01,2,"170101A308",1,1,1
2013-01-01,2,"170101A308",1,1,1
2013-02-01,2,"170101A308",1,1,1
2013-03-01,2,"170101A308",1,1,1
2013-04-01,2,"170101A308",1,1,1
2013-05-01,2,"170101A308",1,4,4
2013-06-01,2,"170101A308",1,4,4
2013-07-01,2,"170101A308",1,4,4
2013-08-01,2,"170101A308",1,4,4
2013-09-01,2,"170101A308",1,4,4
2013-10-01,2,"170101A308",1,4,4
2013-11-01,2,"170101A308",1,4,4
2013-12-01,2,"170101A308",1,4,4
2014-01-01,2,"170101A308",1,4,4
2014-02-01,2,"170101A308",1,4,4
2014-03-01,2,"170101A308",1,1,1
2014-04-01,2,"170101A308",1,1,1
2014-05-01,2,"170101A308",1,2,2
2014-06-01,2,"170101A308",1,2,2
2014-07-01,2,"170101A308",1,2,2
2014-08-01,2,"170101A308",1,2,2
2014-09-01,2,"170101A308",1,2,2
2014-10-01,2,"170101A308",1,2,2
2014-11-01,2,"170101A308",1,2,2
2014-12-01,2,"170101A308",1,2,2
2015-01-01,2,"170101A308",1,2,2
2015-02-01,2,"170101A308",1,2,2
2015-03-01,2,"170101A308",1,2,2
2015-04-01,2,"170101A308",1,2,2
2015-05-01,2,"170101A308",1,2,2
2015-06-01,2,"170101A308",1,2,2
2015-07-01,2,"170101A308",1,2,2
2015-08-01,2,"170101A308",1,2,2
2015-09-01,2,"170101A308",1,2,2
2015-10-01,2,"170101A308",1,2,2
2015-11-01,2,"170101A308",1,2,2
2015-12-01,2,"170101A308",1,2,2
2016-01-01,2,"170101A308",1,2,2
2016-02-01,2,"170101A308",1,2,2
2016-03-01,2,"170101A308",1,2,2
2016-04-01,2,"170101A308",1,2,2
2016-05-01,2,"170101A308",1,2,2
2016-06-01,2,"170101A308",1,2,2
2016-07-01,2,"170101A308",1,2,2
2016-08-01,2,"170101A308",1,2,2
2016-09-01,2,"170101A308",1,2,2
2016-10-01,2,"170101A308",1,2,2
2016-11-01,2,"170101A308",1,2,2
2016-12-01,2,"170101A308",1,2,2
2017-01-01,2,"170101A308",1,2,2
2017-02-01,2,"170101A308",1,2,2
2017-03-01,2,"170101A308",1,2,2
2017-04-01,2,"170101A308",1,2,2
2017-05-01,2,"170101A308",1,2,2
2017-06-01,2,"170101A308",1,2,2
2017-07-01,2,"170101A308",1,2,2
2017-08-01,2,"170101A308",1,2,2
2017-09-01,2,"170101A308",1,2,2
2017-10-01,2,"170101A308",1,2,2
2017-11-01,2,"170101A308",1,2,2
2017-12-01,2,"170101A308",1,2,2
2018-01-01,2,"170101A308",1,2,2
2018-02-01,2,"170101A308",1,2,2
2018-03-01,2,"170101A308",1,2,2
2018-04-01,2,"170101A308",1,1,1
2018-05-01,2,"170101A308",1,1,1
2018-06-01,2,"170101A308",1,1,1
2018-07-01,2,"170101A308",1,1,1
2018-08-01,2,"170101A308",1,1,1
