"month","UBIGEO","e_salud","dx_code","dx_type","leish_cases"
2000-07-01,170302,"150113D103","B55.2","P",1
2000-07-01,170303,"170101A101","B55.1","C",1
2000-07-01,170101,"170101A302","B55.1","C",1
2000-07-01,170101,"170101A318","B55.1","C",1
2000-07-01,170102,"170102A201","B55.1","C",1
2000-07-01,170103,"170103A202","B55.1","C",1
2000-07-01,170203,"170203A301","B55.1","C",1
2000-07-01,170302,"170302A101","B55.1","C",1
2000-07-01,170101,"9999999037","B55.1","C",7
2000-07-01,170102,"9999999037","B55.1","C",1
2000-07-01,170103,"9999999037","B55.1","C",1
2000-07-01,170203,"9999999037","B55.1","C",1
2000-07-01,170302,"9999999037","B55.1","C",4
2000-07-01,170201,"9999999037","B55.2","C",1
2000-07-01,170303,"9999999037","B55.2","C",2
2000-08-01,170101,"080101A101","B55.1","C",1
2000-08-01,170101,"080106A101","B55.1","C",1
2000-08-01,170101,"080106A101","B55.2","C",2
2000-08-01,170101,"080601A101","B55.2","C",3
2000-08-01,170303,"081201A201","B55.1","C",1
2000-08-01,170302,"170101A318","B55.1","C",1
2000-08-01,170103,"170101A329","B55.1","C",1
2000-08-01,170203,"170102A201","B55.1","C",1
2000-08-01,170103,"170103A201","B55.1","C",1
2000-08-01,170103,"170103A202","B55.1","C",1
2000-08-01,170101,"9999999037","B55.1","C",1
2000-08-01,170102,"9999999037","B55.1","C",1
2000-08-01,170201,"9999999037","B55.1","C",2
2000-08-01,170203,"9999999037","B55.1","C",4
2000-08-01,170302,"9999999037","B55.1","C",4
2000-09-01,170104,"080101A101","B55.1","C",1
2000-09-01,170101,"080106A101","B55.1","C",2
2000-09-01,170101,"080106A101","B55.2","C",3
2000-09-01,170104,"080106A101","B55.2","C",2
2000-09-01,170203,"080408A201","B55.2","P",1
2000-09-01,170101,"080601A101","B55.1","C",3
2000-09-01,170102,"080601A101","B55.1","C",1
2000-09-01,170101,"080601A101","B55.2","C",1
2000-09-01,170102,"080601A101","B55.2","C",2
2000-09-01,170104,"080601A101","B55.2","C",1
2000-09-01,170101,"170101A318","B55.1","C",1
2000-09-01,170104,"170104A201","B55.1","C",1
2000-09-01,170201,"170201A304","B55.1","C",1
2000-09-01,170203,"170203A305","B55.1","C",2
2000-09-01,170203,"170204A201","B55.1","C",1
2000-09-01,170301,"170301A201","B55.1","C",1
2000-09-01,170303,"170302A305","B55.1","C",1
2000-09-01,170102,"9999999037","B55.1","C",1
2000-10-01,170101,"080101A101","B55.1","C",1
2000-10-01,170101,"080106A101","B55.1","C",1
2000-10-01,170101,"080106A101","B55.2","C",1
2000-10-01,170102,"080106A101","B55.2","C",1
2000-10-01,170101,"080601A101","B55.1","C",1
2000-10-01,170101,"080601A101","B55.2","C",1
2000-10-01,170102,"080601A101","B55.2","C",3
2000-10-01,170201,"080601A101","B55.2","C",1
2000-10-01,170101,"170101A302","B55.1","C",1
2000-10-01,170101,"170101A318","B55.1","C",2
2000-10-01,170103,"170103A301","B55.1","C",1
2000-10-01,170103,"170103A301","B55.2","C",1
2000-10-01,170203,"170204A201","B55.1","C",2
2000-10-01,170203,"170204A304","B55.1","C",2
2000-10-01,170303,"170303A302","B55.1","C",1
2000-10-01,170303,"170303A303","B55.1","C",1
2000-11-01,170101,"080106A101","B55.1","C",5
2000-11-01,170101,"080106A101","B55.2","C",7
2000-11-01,170104,"080106A101","B55.2","C",1
2000-11-01,170101,"080601A101","B55.1","C",1
2000-11-01,170101,"080601A101","B55.2","C",1
2000-11-01,170101,"170101A304","B55.1","C",2
2000-11-01,170101,"170101A318","B55.1","C",1
2000-11-01,170103,"170103A303","B55.1","C",1
2000-11-01,170203,"170203A301","B55.1","C",1
2000-11-01,170203,"170203A306","B55.1","C",1
2000-11-01,170203,"170203A307","B55.1","C",1
2000-11-01,170203,"170204A201","B55.1","C",1
2000-12-01,170102,"080101A101","B55.2","C",1
2000-12-01,170101,"080106A101","B55.1","C",2
2000-12-01,170101,"080106A101","B55.2","C",1
2000-12-01,170103,"080106A101","B55.2","C",1
2000-12-01,170104,"080106A101","B55.2","C",2
2000-12-01,170102,"080601A101","B55.2","C",1
2000-12-01,170103,"081201A201","B55.1","C",1
2000-12-01,170102,"170102A302","B55.1","C",1
2000-12-01,170203,"170204A303","B55.2","C",1
2001-01-01,170101,"020101A101","B55.1","C",1
2001-01-01,170203,"030201A101","B55.1","C",1
2001-01-01,170203,"030605A201","B55.1","C",1
2001-01-01,170101,"080101A101","B55.1","C",2
2001-01-01,170203,"080101A101","B55.1","C",2
2001-01-01,170104,"080101A101","B55.2","C",1
2001-01-01,170203,"080101A101","B55.2","C",1
2001-01-01,170101,"080106A101","B55.1","C",4
2001-01-01,170201,"080106A101","B55.1","C",1
2001-01-01,170203,"080106A101","B55.1","C",1
2001-01-01,170303,"080106A101","B55.1","C",1
2001-01-01,170101,"080106A101","B55.2","C",2
2001-01-01,170203,"080401A201","B55.1","C",1
2001-01-01,170101,"080601A101","B55.2","C",1
2001-01-01,170102,"080601A101","B55.2","C",3
2001-01-01,170104,"080601A101","B55.2","C",1
2001-01-01,170101,"080601A101","B55.1","D",1
2001-01-01,170101,"080701A101","B55.2","C",1
2001-01-01,170103,"081201A201","B55.1","C",1
2001-01-01,170203,"150133A101","B55.1","C",1
2001-01-01,170101,"170101A101","B55.1","C",3
2001-01-01,170102,"170101A101","B55.1","C",2
2001-01-01,170103,"170101A101","B55.1","C",4
2001-01-01,170104,"170101A101","B55.1","C",3
2001-01-01,170101,"170101A101","B55.2","C",2
2001-01-01,170102,"170101A101","B55.2","C",1
2001-01-01,170203,"170101A304","B55.2","C",1
2001-01-01,170104,"170101A308","B55.1","C",1
2001-01-01,170102,"170101A318","B55.1","C",1
2001-01-01,170103,"170101A318","B55.1","C",3
2001-01-01,170101,"170101A328","B55.1","C",1
2001-01-01,170101,"170101C101","B55.1","C",1
2001-01-01,170102,"170102A201","B55.1","C",2
2001-01-01,170103,"170103A201","B55.1","C",2
2001-01-01,170103,"170103A303","B55.1","C",1
2001-01-01,170104,"170104A201","B55.1","C",2
2001-01-01,170201,"170201A304","B55.1","C",1
2001-01-01,170203,"170203A301","B55.1","C",2
2001-01-01,170201,"170203A307","B55.1","C",1
2001-01-01,170203,"170203A307","B55.1","C",2
2001-01-01,170203,"170204A201","B55.1","C",1
2001-01-01,170103,"170204A201","B55.2","C",1
2001-01-01,170203,"170204A201","B55.2","C",1
