key,e_salud,name,latitude,longitude
61,170204A304,P.S. CAYCHIHUE,-13.0357900000000,-70.4271100000000
58,170204A305,P.S. CHOQUE,-12.9837500000000,-70.5911500000000
59,170204A306,P.S. QUEBRADA NUEVA,-13.0245000000000,-70.5034900000000
74,170301A201,P.S. IÑAPARI,-10.9457698605309,-69.5766764003966
75,170301A301,P.S. BELGICA,-10.9731500000000,-69.7311700000000
76,170301A303,P.S. PRIMAVERA,-11.0422500000000,-69.5718200000000
70,170302A101,C.S. SAN MARTIN DE PORRES,-11.4123000000000,-69.4875000000000
79,170302A301,P.S. CHILINA,-11.2172900000000,-69.5487800000000
80,170302A302,P.S. ARROZAL,-11.3416500000000,-69.4612400000000
81,170302A303,P.S. ABEJA,-11.4146900000000,-69.3938300000000
78,170302A305,P.S. SAN MARTIN,-11.4030800000000,-69.4881500000000
77,170302A306,P.S. OCEANIA,-11.3954197807413,-69.5349438462640
82,170302A307,P.S. FLOR DE ACRE,-11.3331400000000,-69.6141300000000
87,170302C301,POSTA MEDICA ESSALUD IBERIA,-11.4126859260295,-69.4878847534599
71,170303A201,P.S. ALERTA,-11.6577300000000,-69.2339600000000
84,170303A301,P.S. SHIRINGAYOC,-11.9036200000000,-69.0846000000000
85,170303A302,P.S. NUEVO PACARAN,-11.8391800000000,-69.1170300000000
72,170303A303,P.S. VILLA ROCIO,-11.7850900000000,-69.1857800000000
73,170303A304,P.S. SAN LORENZO,-11.4553100000000,-69.3216900000000
83,170303A305,P.S. LA NOVIA,-11.8671900000000,-69.1377400000000
86,170303A306,P.S. SANTA MARIA,-11.8947300000000,-69.0060200000000
104,170103A302,P.S. PIÑAL,-12.0117900000000,-69.0646100000000
105,170101A318,P.S. PAST PUERTO1,-12.5851990970857,-69.1973461970433
106,170101A204,P.S. PAST PUERTO2,-12.5851990970857,-69.1973461970433
